Stock,Last Close,Pattern Description,Start,End,Breakout,Breakout Date,Approx. Breakout Price,Fill Price,Avg 3 Mo. Volume,Ultimate High/Low,Ultimate H/L Date,Approx. Target,Volatility Stop,Trade Status,Pattern Width (days/price bars),Height,Stage
APOLLOHOSP.txt,5162.05,Broadening bottom (BB),03/31/2016,08/09/2016,Down,11/11/2016,1267.85,1260,"185,558",1111.6,12/26/2016,1092.7 or -14%,1398.58 or 5%,Target (1092.7) reached on 08/21/2017,132,Short,
ASAHIINDIA.txt,495.3,Broadening bottom (BB),06/27/2018,09/03/2018,Down,09/28/2018,318.45,318.45,"26,979",170,10/01/2019,270.9 or -15%,362.16 or 8%,Target (270.9) reached on 11/19/2018,69,Tall,
ASAL.txt,334.55,Broadening bottom (BB),11/01/2012,11/27/2012,Up,12/13/2012,45.9,49,"4,712",59.4,12/21/2012,49.6 or 8%,41.12 or -7%,Target (49.6) reached on 12/14/2012,27,Short,
ASAL.txt,334.55,Broadening bottom (BB),06/21/2019,07/15/2019,Down,07/16/2019,42.05,42.05,"12,244",36.5,07/30/2019,33.9 or -19%,54.93 or 9%,Target (33.9) reached on 07/31/2019,25,Tall,
ASHIANA.txt,184.1,Broadening bottom (BB),08/14/2019,09/19/2019,Down,10/03/2019,103.5,103.5,"43,000",86,12/09/2019,88.1 or -15%,117.2 or 9%,Target (88.1) reached on 12/02/2019,37,Tall,
ASHOKA.txt,80.65,Broadening bottom (BB),11/22/2012,07/11/2013,Down,07/24/2013,51.4,49.05,"10,847",47.3,07/24/2013,20.47 or -60%,62.18 or 15%,Stop (62.18) triggered on 12/20/2013,232,Tall,
ASIANHOTNR.txt,179.6,Broadening bottom (BB),05/31/2011,06/27/2011,Up,07/01/2011,211.9,212.5,"3,504",224.75,07/05/2011,233.8 or 10%,189.28 or -7%,Stop (189.28) triggered on 08/05/2011,28,Short,
ASIANPAINT.txt,3318.7,Broadening bottom (BB),02/09/2018,04/09/2018,Up,04/16/2018,1171.5,1180,"831,603",1490.6,07/25/2018,1250.85 or 7%,1110.74 or -4%,Target (1250.85) reached on 05/11/2018,60,Short,
ASTEC.txt,1375.25,Broadening bottom (BB),01/27/2021,04/27/2021,Up,05/11/2021,1194.95,1259.75,"38,571",1530,05/24/2021,1393.9 or 17%,1041.18 or -10%,Target (1393.9) reached on 05/24/2021,91,Tall,
ASTRAL.txt,1990.05,Broadening bottom (BB),01/11/2017,01/27/2017,Up,02/01/2017,402,413.15,"35,250",765,07/10/2017,428.8 or 7%,357.74 or -6%,Target (428.8) reached on 02/07/2017,17,Short,
ASTRAZEN.txt,3648.7,Broadening bottom (BB),10/25/2021,11/23/2021,Up,11/26/2021,3120,3280.85,"18,535",3349,11/29/2021,3281.8 or 5%,2883.76 or -5%,Target (3281.8) reached on 11/29/2021,30,Short,
ATFL.txt,803.2,Broadening bottom (BB),02/06/2019,03/06/2019,Up,03/29/2019,590.2,600.05,"16,846",619,04/12/2019,642.8 or 9%,543.92 or -6%,Stop (543.92) triggered on 05/08/2019,29,Short,
ATLANTA.txt,16.25,Broadening bottom (BB),10/12/2012,01/08/2013,Up,01/23/2013,43.4,44.6,"118,759",51.9,02/06/2013,54.8 or 26%,35.51 or -12%,Target (54.8) reached on 03/11/2013,89,Tall,
AURIONPRO.txt,1059.3,Broadening bottom (BB),04/03/2012,10/18/2012,Down,02/01/2013,95.65,95.65,"2,709",85,02/14/2013,56.35 or -41%,109.82 or 12%,Target (56.35) reached on 06/07/2013,199,Tall,
AUSOMENT.txt,64.4,Broadening bottom (BB),01/18/2021,03/03/2021,Up,04/08/2021,54.9,59,"11,678",80,05/12/2021,64.5 or 17%,41.14 or -13%,Target (64.5) reached on 04/28/2021,45,Tall,
AVANTIFEED.txt,388.4,Broadening bottom (BB),08/30/2021,10/13/2021,Down,11/29/2021,535,511,"185,469",491.35,11/29/2021,478.6 or -11%,587.53 or 7%,Stop (587.53) triggered on 01/11/2022,45,Short,
AVANTIFEED.txt,388.4,Broadening bottom (BB),12/23/2022,01/16/2023,Down,02/24/2023,374,373,"175,131",321.1,03/28/2023,351.1 or -6%,396.19 or 5%,Target (351.1) reached on 03/14/2023,25,Short,
AXISBANK.txt,974.85,Broadening bottom (BB),05/18/2017,08/11/2017,Down,10/18/2017,480,463.9,"7,619,681",447.5,10/23/2017,412.5 or -14%,551.73 or 5%,Stop (551.73) triggered on 11/08/2017,86,Tall,
BAJAJCON.txt,192.2,Broadening bottom (BB),11/21/2016,05/24/2017,Up,10/17/2017,435.7,442,"133,111",525,01/11/2018,532.2 or 22%,380.35 or -7%,Stop (380.35) triggered on 10/01/2018,185,Tall,
BAJAJCON.txt,192.2,Broadening bottom (BB),11/05/2018,12/14/2018,Up,12/20/2018,372,380,"54,546",397.2,01/07/2019,404 or 9%,342.95 or -5%,Stop (342.95) triggered on 01/25/2019,40,Short,
BAJAJCON.txt,192.2,Broadening bottom (BB),08/28/2019,09/24/2019,Down,09/25/2019,249,248.4,"84,188",195.1,10/15/2019,232.1 or -7%,279.7 or 5%,Target (232.1) reached on 10/14/2019,28,Short,
BAJAJHLDNG.txt,7001.35,Broadening bottom (BB),05/18/2011,08/08/2011,Down,11/30/2011,705.05,705.05,"67,902",628.05,01/20/2012,624.85 or -11%,773.49 or 4%,Stop (773.49) triggered on 02/13/2012,83,Short,
BAJAJHLDNG.txt,7001.35,Broadening bottom (BB),03/27/2015,04/15/2015,Down,04/21/2015,1272,1271.15,"33,235",1244.2,04/27/2015,1196 or -6%,1355.08 or 5%,Stop (1355.08) triggered on 06/04/2015,20,Short,
BALAXI.txt,534.1,Broadening bottom (BB),09/30/2022,01/31/2023,Down,02/03/2023,504.55,500,"3,779",490.05,02/08/2023,339.1 or -33%,586.45 or 10%,Stop (586.45) triggered on 05/19/2023,124,Tall,
BALMLAWRIE.txt,137.75,Broadening bottom (BB),02/03/2015,03/05/2015,Down,03/25/2015,142.24,141.75,"172,684",133.79,03/27/2015,126 or -11%,154.81 or 7%,Stop (154.81) triggered on 07/17/2015,31,Short,
BALPHARMA.txt,89.35,Broadening bottom (BB),11/20/2018,12/14/2018,Down,01/28/2019,75.55,73.95,"23,063",63,02/18/2019,66.1 or -13%,84.38 or 6%,Target (66.1) reached on 02/14/2019,25,Short,
BANARISUG.txt,2800.45,Broadening bottom (BB),03/30/2010,06/29/2010,Down,07/28/2010,854,849.95,"1,482",785.15,08/26/2010,718 or -16%,943.49 or 6%,Stop (943.49) triggered on 09/03/2010,92,Tall,
