Stock,Last Close,Pattern Description,Start,End,Breakout,Breakout Date,Approx. Breakout Price,Fill Price,Avg 3 Mo. Volume,Ultimate High/Low,Ultimate H/L Date,Approx. Target,Volatility Stop,Trade Status,Pattern Width (days/price bars),Height,Stage
PANAMAPET.txt,295.3,High & tight flag (HTF),01/25/2021,02/24/2021,Up,05/10/2021,188,195.2,"216,125",309.8,08/05/2021,235.9 or 25%,152.62 or -15%,Target (235.9) reached on 06/11/2021,31,Tall,
GENESYS.txt,333.45,High & tight flag (HTF),06/01/2021,07/16/2021,Up,09/29/2021,188.7,207.6,"47,480",313.9,10/13/2021,235.62 or 25%,158.78 or -7%,Target (235.62) reached on 10/05/2021,46,Tall,
SALONA.txt,251.35,High & tight flag (HTF),04/19/2021,06/08/2021,Up,07/14/2021,181,185.15,"21,701",250,08/04/2021,234.85 or 30%,144.29 or -12%,Target (234.85) reached on 07/30/2021,51,Tall,
VERTOZ.txt,230.8,High & tight flag (HTF),10/28/2022,11/28/2022,Up,11/30/2022,188.15,196.3,"222,733",262.9,01/04/2023,233.32 or 24%,150.74 or -11%,Target (233.32) reached on 12/19/2022,32,Tall,
JAYBARMARU.txt,183,High & tight flag (HTF),04/20/2021,05/27/2021,Up,05/31/2021,187.5,192.48,"163,688",268.95,06/08/2021,231.96 or 24%,162.54 or -10%,Target (231.96) reached on 06/08/2021,38,Tall,
MAANALU.txt,317.65,High & tight flag (HTF),04/13/2021,06/16/2021,Up,07/12/2021,178.68,194.85,"254,039",234.05,08/05/2021,231.72 or 30%,146.32 or -12%,Target (231.72) reached on 08/05/2021,65,Tall,
BCLIND.txt,502.9,High & tight flag (HTF),04/05/2021,06/07/2021,Up,06/09/2021,186.9,192,"218,123",289.7,07/02/2021,231.35 or 24%,153.04 or -12%,Target (231.35) reached on 06/21/2021,64,Tall,
CHENNPETRO.txt,362,High & tight flag (HTF),02/24/2022,04/12/2022,Up,04/19/2022,185.35,198.4,"1,468,809",345,05/23/2022,230.8 or 25%,151.88 or -11%,Target (230.8) reached on 04/20/2022,48,Tall,
BANSWRAS.txt,177,High & tight flag (HTF),04/19/2021,06/04/2021,Up,07/13/2021,182.45,196.6,"49,384",256.6,08/04/2021,230.55 or 26%,153.77 or -10%,Target (230.55) reached on 07/30/2021,47,Tall,
HINDMOTORS.txt,16.3,High & tight flag (HTF),09/22/2021,10/19/2021,Up,06/06/2022,18.15,20,"863,876",26.75,06/15/2022,23.68 or 30%,16.12 or -7%,Target (23.68) reached on 06/13/2022,28,Tall,
CENTRALBK.txt,27.3,Flag,09/21/2022,10/04/2022,Up,10/25/2022,20.2,21.1,"5,532,876",41.8,12/14/2022,23.4 or 23%,18.64 or -6%,Target (23.4) reached on 11/07/2022,14,Tall,
GRINDWELL.txt,2138.3,Flag,07/28/2022,08/12/2022,Up,08/16/2022,2025,2078.95,"64,840",2328.35,09/09/2022,2270.8 or 17%,1846.18 or -7%,Target (2270.8) reached on 09/01/2022,16,Tall,
KANPRPLA.txt,98.45,High & tight flag (HTF),01/20/2021,03/08/2021,Up,05/18/2021,183.5,188,"65,212",275.5,05/27/2021,227.08 or 24%,143.98 or -11%,Target (227.08) reached on 05/26/2021,48,Tall,
KABRAEXTRU.txt,457.5,High & tight flag (HTF),01/27/2021,03/15/2021,Up,03/19/2021,181,190.25,"245,329",215,03/23/2021,225.35 or 25%,131.9 or -17%,Target (225.35) reached on 07/19/2021,48,Tall,
AHLADA.txt,111.25,High & tight flag (HTF),04/26/2021,06/11/2021,Up,06/15/2021,179.9,183.55,"24,434",248,08/04/2021,224.82 or 25%,133.67 or -15%,Target (224.82) reached on 07/02/2021,47,Tall,
E2E.txt,167.95,High & tight flag (HTF),06/15/2022,07/29/2022,Up,08/17/2022,181.3,196,"13,586",224.7,08/26/2022,224.78 or 24%,149.36 or -12%,Target (224.78) reached on 12/14/2022,45,Tall,
MHLXMIRU.txt,236.85,High & tight flag (HTF),02/01/2022,02/17/2022,Up,08/24/2022,170.6,173,"11,154",225,09/09/2022,223.3 or 31%,121.02 or -14%,Target (223.3) reached on 09/09/2022,17,Tall,
LSIL.txt,26.8,High & tight flag (HTF),06/21/2022,08/03/2022,Up,01/13/2023,17.95,19.35,"5,693,255",25.3,01/24/2023,22.85 or 27%,13.14 or -18%,Target (22.85) reached on 01/23/2023,44,Tall,
CINEVISTA.txt,12.7,High & tight flag (HTF),05/07/2021,07/08/2021,Up,11/17/2021,18.35,20,"43,705",24.25,11/29/2021,22.78 or 24%,16.58 or -9%,Target (22.78) reached on 11/26/2021,63,Tall,
SHREERAMA.txt,11,High & tight flag (HTF),04/22/2021,05/26/2021,Up,01/03/2022,18,22,"188,691",23.5,01/05/2022,22.5 or 25%,12.16 or -19%,Target (22.5) reached on 01/04/2022,35,Tall,
DISHTV.txt,14.05,High & tight flag (HTF),04/22/2021,05/26/2021,Up,09/09/2021,17.7,18.5,"12,273,471",23.35,09/15/2021,22.2 or 25%,13.02 or -11%,Target (22.2) reached on 09/15/2021,35,Tall,
CELEBRITY.txt,14.05,High & tight flag (HTF),11/30/2021,12/16/2021,Up,12/31/2021,17.7,19.35,"119,522",22.15,01/11/2022,22.1 or 25%,15.36 or -10%,Target (22.1) reached on 01/11/2022,17,Tall,
RAJRATAN.txt,832.2,High & tight flag (HTF),01/20/2021,03/23/2021,Up,04/26/2021,175.8,189.69,"126,534",551.72,08/04/2021,218.7 or 24%,145.79 or -11%,Target (218.7) reached on 04/27/2021,63,Tall,
INDOTECH.txt,347.05,High & tight flag (HTF),04/12/2021,06/10/2021,Up,06/24/2021,171.8,188,"53,065",292.55,07/15/2021,217.6 or 27%,147.06 or -11%,Target (217.6) reached on 06/29/2021,60,Tall,
UTTAMSUGAR.txt,272.75,High & tight flag (HTF),03/18/2021,05/04/2021,Up,06/10/2021,172.6,178.75,"379,237",308.35,06/30/2021,215.2 or 25%,147.51 or -11%,Target (215.2) reached on 06/25/2021,48,Tall,
SPECIALITY.txt,234.9,High & tight flag (HTF),01/24/2022,03/28/2022,Up,07/29/2022,173.6,191.9,"127,216",242,09/12/2022,214.85 or 24%,142.99 or -10%,Target (214.85) reached on 09/01/2022,64,Tall,
JAICORPLTD.txt,174,High & tight flag (HTF),04/20/2021,06/16/2021,Up,09/14/2022,169.8,172.35,"3,272,814",218.25,10/11/2022,214.62 or 26%,140.54 or -11%,Target (214.62) reached on 10/11/2022,58,Tall,
AXISCADES.txt,373.35,High & tight flag (HTF),02/25/2022,04/19/2022,Up,09/15/2022,170.4,179,"92,258",385.8,11/11/2022,214.3 or 26%,142.18 or -11%,Target (214.3) reached on 10/21/2022,54,Tall,
EKC.txt,104.35,High & tight flag (HTF),04/15/2021,04/28/2021,Up,12/09/2021,162.3,173.9,"450,992",291.8,01/11/2022,210.05 or 29%,133.79 or -11%,Target (210.05) reached on 12/24/2021,14,Tall,
RANASUG.txt,23.75,High & tight flag (HTF),03/01/2021,05/04/2021,Up,05/11/2021,16.8,17.4,"2,303,245",17.85,05/12/2021,21.9 or 30%,12.18 or -18%,Target (21.9) reached on 06/15/2021,65,Tall,
RENUKA.txt,43.7,High & tight flag (HTF),03/31/2021,05/27/2021,Up,06/07/2021,17.6,19.7,"10,952,814",47.75,07/06/2021,21.85 or 24%,15.02 or -8%,Target (21.85) reached on 06/10/2021,58,Tall,
GOLDTECH.txt,69.95,High & tight flag (HTF),01/27/2021,02/24/2021,Up,08/31/2021,17.3,18.45,"79,310",39.7,09/24/2021,21.55 or 25%,15.28 or -9%,Target (21.55) reached on 09/07/2021,29,Tall,
SAKHTISUG.txt,25.35,High & tight flag (HTF),03/25/2021,05/12/2021,Up,06/29/2021,17.1,18.2,"800,636",22.95,07/13/2021,21.38 or 25%,14.38 or -10%,Target (21.38) reached on 07/06/2021,49,Tall,
HCL-INSYS.txt,13.8,High & tight flag (HTF),04/22/2021,06/14/2021,Up,06/16/2021,16.9,17.3,"1,017,837",21.75,06/23/2021,21.38 or 27%,14.46 or -8%,Target (21.38) reached on 06/23/2021,54,Tall,
SEPOWER.txt,20.2,High & tight flag (HTF),09/28/2021,11/16/2021,Up,11/30/2021,16.6,18.15,"64,406",63.45,01/12/2022,21.15 or 27%,13.86 or -8%,Target (21.15) reached on 12/07/2021,50,Tall,
NAHARCAP.txt,273.2,High & tight flag (HTF),04/22/2021,06/14/2021,Up,06/28/2021,168,173.65,"39,065",423.7,08/04/2021,208.48 or 24%,139.69 or -12%,Target (208.48) reached on 07/07/2021,54,Tall,
ADANIPOWER.txt,279.15,High & tight flag (HTF),04/20/2021,06/09/2021,Up,03/29/2022,166.9,177,"36,914,604",312,04/28/2022,207.85 or 25%,132.8 or -8%,Target (207.85) reached on 04/04/2022,51,Tall,
GULPOLY.txt,272.45,High & tight flag (HTF),02/24/2021,04/28/2021,Up,05/17/2021,167.6,172.95,"243,311",293,07/28/2021,207.52 or 24%,129.33 or -14%,Target (207.52) reached on 07/05/2021,64,Tall,
MINDTECK.txt,134.4,High & tight flag (HTF),11/01/2021,12/13/2021,Up,12/16/2021,167.45,178.8,"84,734",300.2,01/11/2022,207.18 or 24%,141.44 or -10%,Target (207.18) reached on 12/31/2021,43,Tall,
TANLA.txt,839.1,High & tight flag (HTF),09/21/2021,11/24/2021,Up,12/07/2021,1640,1740,"297,386",2096.75,01/17/2022,2065.75 or 26%,1339.48 or -11%,Target (2065.75) reached on 01/14/2022,65,Tall,
USHAMART.txt,254.55,High & tight flag (HTF),02/22/2022,04/21/2022,Up,12/26/2022,163.65,172.75,"950,570",209,01/20/2023,204.48 or 25%,120.26 or -11%,Target (204.48) reached on 01/19/2023,59,Tall,
POWERMECH.txt,3208.5,High & tight flag (HTF),07/18/2022,09/15/2022,Up,09/19/2022,1622,1813,"71,084",2413,12/08/2022,2030.25 or 25%,1371.3 or -10%,Target (2030.25) reached on 10/06/2022,60,Tall,
MARATHON.txt,328.35,High & tight flag (HTF),02/25/2022,04/25/2022,Up,06/10/2022,162.9,172.8,"72,841",275,09/02/2022,203.25 or 25%,122.2 or -15%,Target (203.25) reached on 06/27/2022,60,Tall,
RAMASTEEL.txt,38.95,High & tight flag (HTF),05/18/2021,07/06/2021,Up,07/28/2021,159.2,171.8,"73,923",292,10/12/2021,203.02 or 28%,131.2 or -10%,Target (203.02) reached on 08/04/2021,50,Tall,
TRIVENI.txt,293.1,High & tight flag (HTF),03/19/2021,05/11/2021,Up,06/07/2021,160,169.5,"1,586,907",203.1,06/09/2021,200 or 25%,131.15 or -12%,Target (200) reached on 06/09/2021,54,Tall,
MAGNUM.txt,39.2,High & tight flag (HTF),03/09/2022,04/19/2022,Up,11/01/2022,16.85,18.4,"169,722",20.9,11/07/2022,20.85 or 24%,12.22 or -16%,Target (20.85) reached on 11/07/2022,42,Tall,
SALSTEEL.txt,16.4,High & tight flag (HTF),12/22/2021,01/12/2022,Up,01/04/2023,16.6,17.4,"290,140",23.3,01/18/2023,20.8 or 25%,14.36 or -9%,Target (20.8) reached on 01/16/2023,22,Tall,
SALSTEEL.txt,16.4,High & tight flag (HTF),08/29/2022,09/29/2022,Up,01/03/2023,16.5,16.55,"297,047",23.3,01/18/2023,20.75 or 26%,13.74 or -9%,Target (20.75) reached on 01/16/2023,32,Tall,
COMPUSOFT.txt,20.25,High & tight flag (HTF),05/04/2021,06/11/2021,Up,10/05/2021,16.45,17.5,"143,565",20.9,10/12/2021,20.62 or 25%,15 or -6%,Target (20.62) reached on 10/12/2021,39,Tall,
NAGREEKCAP.txt,20.1,High & tight flag (HTF),03/31/2022,04/21/2022,Up,11/07/2022,16.2,17.45,"6,221",17.55,11/09/2022,20.05 or 24%,11.82 or -16%,Target (20.05) reached on 12/16/2022,22,Tall,
SIMBHALS.txt,24.7,High & tight flag (HTF),03/25/2021,05/20/2021,Up,06/04/2021,15.5,16,"61,017",44.45,07/14/2021,20.05 or 29%,13.43 or -6%,Target (20.05) reached on 06/14/2021,57,Tall,
FCSSOFT.txt,2.3,High & tight flag (HTF),10/04/2021,11/30/2021,Up,12/09/2021,2.4,2.6,"4,983,177",8.3,01/18/2022,2.98 or 24%,2.35 or -2%,Target (2.98) reached on 12/16/2021,58,Tall,
KAUSHALYA.txt,6.25,High & tight flag (HTF),05/11/2021,07/07/2021,Up,07/14/2021,2.4,2.6,"9,074",3.95,08/05/2021,2.98 or 24%,2.14 or -7%,Target (2.98) reached on 07/28/2021,58,Tall,
SETUINFRA.txt,0.95,High & tight flag (HTF),06/09/2021,07/07/2021,Up,12/22/2021,2,2.2,"237,991",4.25,01/24/2022,2.5 or 25%,1.93 or -4%,Target (2.5) reached on 12/28/2021,29,Tall,
HOTELRUGBY.txt,5.6,High & tight flag (HTF),05/10/2021,06/17/2021,Up,06/24/2021,1.85,1.95,"3,587",5.05,08/02/2021,2.3 or 24%,1.76 or -2%,Target (2.3) reached on 07/02/2021,39,Tall,
AURIONPRO.txt,823.9,High & tight flag (HTF),01/18/2021,03/16/2021,Up,04/09/2021,156.9,170,"94,115",194.35,04/15/2021,199.4 or 27%,104.55 or -20%,Target (199.4) reached on 07/20/2021,58,Tall,
CGPOWER.txt,375.05,High & tight flag (HTF),08/27/2021,10/28/2021,Up,11/03/2021,158.65,165,"1,986,295",208.9,01/05/2022,196.48 or 24%,133.44 or -9%,Target (196.48) reached on 12/29/2021,63,Tall,
FIEMIND.txt,1798.15,High & tight flag (HTF),05/12/2022,07/05/2022,Up,07/18/2022,1573.7,1620,"136,199",1843.05,09/15/2022,1957.25 or 24%,1269.36 or -13%,Target (1957.25) reached on 11/14/2022,55,Tall,
MACPOWER.txt,285,High & tight flag (HTF),05/06/2021,06/24/2021,Up,06/30/2021,157.75,164,"34,093",172.15,07/06/2021,195.62 or 24%,133.4 or -12%,Target (195.62) reached on 08/06/2021,50,Tall,
NURECA.txt,391.35,High & tight flag (HTF),03/15/2021,04/28/2021,Up,05/10/2021,1481.25,1619,"58,726",1996.85,08/04/2021,1944.08 or 31%,1371.3 or -7%,Target (1944.08) reached on 08/04/2021,45,Tall,
TCIEXP.txt,1651.6,High & tight flag (HTF),04/22/2021,06/02/2021,Up,06/10/2021,1559.55,1588,"149,589",1747,07/20/2021,1933.8 or 24%,1247.38 or -15%,Target (1933.8) reached on 10/27/2021,42,Tall,
RAMKY.txt,366.05,High & tight flag (HTF),04/22/2021,06/17/2021,Up,06/23/2021,148.8,150.9,"154,784",210.45,07/06/2021,193.4 or 30%,132.11 or -9%,Target (193.4) reached on 07/05/2021,57,Tall,
GOKEX.txt,453.4,High & tight flag (HTF),04/19/2021,06/04/2021,Up,07/02/2021,153.8,157.8,"744,375",233.7,08/09/2021,193.12 or 26%,123.78 or -12%,Target (193.12) reached on 07/13/2021,47,Tall,
RELIGARE.txt,167.5,High & tight flag (HTF),04/29/2021,06/07/2021,Up,07/22/2021,156,161.8,"3,583,597",175.8,08/02/2021,192.98 or 24%,129.61 or -10%,Target (192.98) reached on 09/24/2021,40,Tall,
SOUTHWEST.txt,132.05,High & tight flag (HTF),08/20/2021,10/18/2021,Up,01/10/2022,155,164.4,"29,421",249,02/18/2022,192.48 or 24%,126.23 or -9%,Target (192.48) reached on 02/09/2022,60,Tall,
ATGL.txt,670.9,High & tight flag (HTF),07/22/2021,09/01/2021,Up,11/09/2021,1525.1,1580,"379,689",1987.1,12/16/2021,1900.18 or 25%,1291.76 or -9%,Target (1900.18) reached on 12/14/2021,42,Tall,
MANAKALUCO.txt,22.85,High & tight flag (HTF),03/25/2021,05/11/2021,Up,05/19/2021,15.95,18.1,"127,348",23.95,05/28/2021,19.8 or 24%,11.7 or -18%,Target (19.8) reached on 05/24/2021,48,Tall,
JITFINFRA.txt,273.4,High & tight flag (HTF),04/22/2021,06/11/2021,Up,06/25/2021,15.55,16,"18,377",337.25,10/18/2021,19.52 or 26%,12.95 or -9%,Target (19.52) reached on 07/02/2021,51,Tall,
GTNTEX.txt,19.5,High & tight flag (HTF),10/26/2021,12/22/2021,Up,01/04/2022,15.5,16.15,"5,000",,,19.42 or 25%,14.78 or -4%,Target (19.42) reached on 01/11/2022,58,Tall,
PARACABLES.txt,37.25,High & tight flag (HTF),04/20/2021,06/07/2021,Up,06/29/2021,15.6,16.5,"1,140,896",24.4,07/14/2021,19.32 or 24%,12 or -17%,Target (19.32) reached on 07/12/2021,49,Tall,
RKDL.txt,14.1,High & tight flag (HTF),04/19/2021,06/03/2021,Up,07/20/2021,15.2,15.95,"136,689",19.7,07/26/2021,19.3 or 27%,10.86 or -13%,Target (19.3) reached on 07/26/2021,46,Tall,
DGCONTENT.txt,15.15,High & tight flag (HTF),05/12/2021,06/15/2021,Up,06/29/2021,15.2,16.25,"131,923",21.6,07/08/2021,19.25 or 27%,11.39 or -15%,Target (19.25) reached on 07/06/2021,35,Tall,
SCAPDVR.txt,18.05,High & tight flag (HTF),02/16/2023,03/28/2023,Up,04/06/2023,15.45,15.6,"1,039,810",,,19.23 or 24%,12.3 or -13%,Target (19.23) reached on 04/17/2023,41,Tall,
SAREGAMA.txt,313.05,High & tight flag (HTF),01/18/2021,03/09/2021,Up,03/12/2021,1528,1608.8,"86,722",1740,03/16/2021,1891.48 or 24%,1268.87 or -11%,Target (1891.48) reached on 04/19/2021,51,Tall,
GSS.txt,186.05,High & tight flag (HTF),10/21/2021,12/10/2021,Up,04/20/2022,152,160.9,"59,698",343.65,11/16/2022,188.98 or 24%,118.3 or -10%,Target (188.98) reached on 05/05/2022,51,Tall,
FAIRCHEMOR.txt,1328.85,High & tight flag (HTF),04/30/2021,06/14/2021,Up,06/17/2021,1484.7,1560,"51,117",2155,08/09/2021,1871.85 or 26%,1222.11 or -10%,Target (1871.85) reached on 08/02/2021,46,Tall,
VERTOZ.txt,230.8,High & tight flag (HTF),11/30/2021,01/10/2022,Up,11/16/2022,151.5,159.5,"123,816",262.9,01/04/2023,187.45 or 24%,120.12 or -11%,Target (187.45) reached on 11/28/2022,42,Tall,
GEEKAYWIRE.txt,222.65,High & tight flag (HTF),12/26/2022,02/15/2023,Up,03/09/2023,146.85,153.65,"213,937",188.3,03/22/2023,187.32 or 28%,100.32 or -18%,Target (187.32) reached on 03/22/2023,52,Tall,
SERVOTECH.txt,130.15,High & tight flag (HTF),07/26/2022,09/13/2022,Up,09/15/2022,143.85,151.35,"38,782",188.8,10/03/2022,187.28 or 30%,116.96 or -6%,Target (187.28) reached on 10/03/2022,50,Tall,
KERNEX.txt,343.95,High & tight flag (HTF),11/30/2021,01/12/2022,Up,03/10/2022,149.8,162,"18,277",178.7,03/15/2022,186.65 or 25%,136.48 or -7%,Target (186.65) reached on 04/08/2022,44,Tall,
ACCURACY.txt,13.15,High & tight flag (HTF),07/07/2021,09/03/2021,Up,10/12/2021,149,163.5,"140,967",218.85,12/16/2021,184.78 or 24%,125.18 or -11%,Target (184.78) reached on 11/03/2021,59,Tall,
GLOBAL.txt,217.95,High & tight flag (HTF),04/25/2022,06/10/2022,Up,06/30/2022,146.45,158.55,"50,627",206,07/21/2022,184.68 or 26%,117.68 or -12%,Target (184.68) reached on 07/06/2022,47,Tall,
TOUCHWOOD.txt,170.45,High & tight flag (HTF),06/10/2021,08/09/2021,Up,01/18/2023,148.45,158.45,"7,173",202,01/27/2023,183.9 or 24%,135.44 or -6%,Target (183.9) reached on 01/25/2023,61,Tall,
TTML.txt,78.4,High & tight flag (HTF),11/15/2021,12/07/2021,Up,12/10/2021,143.55,155.65,"7,558,873",189.1,12/17/2021,183.25 or 28%,121.01 or -5%,Target (183.25) reached on 12/17/2021,23,Tall,
VLSFINANCE.txt,160.9,High & tight flag (HTF),03/30/2021,05/24/2021,Up,06/23/2021,145.3,156.35,"186,225",264.9,07/27/2021,182.4 or 26%,111.4 or -13%,Target (182.4) reached on 06/30/2021,56,Tall,
IRISDOREME.txt,413.95,High & tight flag (HTF),02/22/2021,03/02/2021,Up,07/07/2021,142.3,149.35,"46,420",197.5,08/03/2021,182.28 or 28%,114.24 or -13%,Target (182.28) reached on 07/29/2021,9,Tall,
EIHOTEL.txt,208.9,Flag,03/27/2023,04/11/2023,Up,04/12/2023,168.8,170.65,"408,513",,,181.75 or 11%,153.94 or -7%,Target (181.75) reached on 04/28/2023,16,Tall,
ASAL.txt,333.7,High & tight flag (HTF),10/25/2021,11/15/2021,Up,11/18/2021,146.25,160.1,"33,326",925.45,01/11/2022,181.48 or 24%,133.6 or -6%,Target (181.48) reached on 11/25/2021,22,Tall,
